desertionNo,kindNm,age,sexCd,neuterYn,specialMark,careNm,careAddr,careTel,processState,age_group,species,mbti_label
448567202600319,시츄,2019(년생),F,N,"내장칩 있음, 포획 업체 현장 반환",창원동물보호센터,경상남도 창원시 성산구 공단로474번길 117 (상복동) 창원동물보호센터,055-225-5701,종료(반환),성체,dog,ISFJ
448567202600318,시바,2023(년생),M,Y,"학대로 경찰에 접수된 아이, 공고 만료 후에도 입양은 조사 종료까지 보류",창원동물보호센터,경상남도 창원시 성산구 공단로474번길 117 (상복동) 창원동물보호센터,055-225-5701,보호중,성체,dog,ISFJ
448567202600317,믹스견,2023(년생),M,N,"들개포획단 포획, 키트검사도 입질없이 잘해줌, 손만 보이면 움찔함, 적응 후 사진 교체 예정",창원동물보호센터,경상남도 창원시 성산구 공단로474번길 117 (상복동) 창원동물보호센터,055-225-5701,보호중,성체,dog,ISTJ
448548202600266,믹스견,2022(년생),M,N,사람을 경계 마을 집 배회 ,태민동물보호센터,"경상남도 합천군 합천읍 옥산로 16 (합천읍, 까치빌라) 태민동물병원",010-2868-2108,보호중,성체,dog,ISTJ
448548202600265,믹스견,2021(년생),M,N,사람을 경계 마을 집 배회 ,태민동물보호센터,"경상남도 합천군 합천읍 옥산로 16 (합천읍, 까치빌라) 태민동물병원",010-2868-2108,보호중,성체,dog,ISTJ
448548202600264,믹스견,2021(년생),M,N,사람을 매우 경계 마을 배회 ,태민동물보호센터,"경상남도 합천군 합천읍 옥산로 16 (합천읍, 까치빌라) 태민동물병원",010-2868-2108,보호중,성체,dog,ISTJ
448548202600263,믹스견,2021(년생),M,N,마을 배회 ,태민동물보호센터,"경상남도 합천군 합천읍 옥산로 16 (합천읍, 까치빌라) 태민동물병원",010-2868-2108,보호중,성체,dog,ISTJ
448548202600262,믹스견,2021(년생),M,N,마을 배회 ,태민동물보호센터,"경상남도 합천군 합천읍 옥산로 16 (합천읍, 까치빌라) 태민동물병원",010-2868-2108,보호중,성체,dog,ISTJ
448548202600261,믹스견,2021(년생),M,N,마을배회 도로변 ,태민동물보호센터,"경상남도 합천군 합천읍 옥산로 16 (합천읍, 까치빌라) 태민동물병원",010-2868-2108,보호중,성체,dog,ISTJ
448548202600260,믹스견,2022(년생),M,N,마을배회 ,태민동물보호센터,"경상남도 합천군 합천읍 옥산로 16 (합천읍, 까치빌라) 태민동물병원",010-2868-2108,보호중,성체,dog,ISTJ
448547202600237,믹스견,2024(년생),M,N,"푸들믹스 추정, 순함, 털이 많이 엉킴",거창군 동물보호소,경상남도 거창군 거창읍 가실길 203  ,010-2617-6245,보호중,성체,dog,ESFJ
448547202600236,믹스견,2023(년생),F,N,"순함, 경계, 털많이 엉킴",거창군 동물보호소,경상남도 거창군 거창읍 가실길 203  ,010-2617-6245,보호중,성체,dog,ISFJ
448536202600180,믹스견,2026(60일미만)(년생),F,N,"공고번호 0021의 4마리 자견, 2/15 보호소 출생, 통통함",밀양시 동물보호센터,경상남도 밀양시 삼랑진읍 천태로 472 (삼랑진읍) ,070-4113-7288,보호중,새끼,dog,ENFP
448536202600179,믹스견,2026(60일미만)(년생),M,N,"공고번호 0021의 4마리 자견, 2/15 보호소 출생, 통통함",밀양시 동물보호센터,경상남도 밀양시 삼랑진읍 천태로 472 (삼랑진읍) ,070-4113-7288,보호중,새끼,dog,ENFP
448536202600178,믹스견,2026(60일미만)(년생),M,N,"공고번호 0021의 4마리 자견, 2/15 보호소 출생, 통통함",밀양시 동물보호센터,경상남도 밀양시 삼랑진읍 천태로 472 (삼랑진읍) ,070-4113-7288,보호중,새끼,dog,ENFP
448536202600177,믹스견,2026(60일미만)(년생),F,N,"공고번호 0021의 4마리 자견, 2/15 보호소 출생, 통통함",밀양시 동물보호센터,경상남도 밀양시 삼랑진읍 천태로 472 (삼랑진읍) ,070-4113-7288,보호중,새끼,dog,ENFP
448536202600174,믹스견,2026(년생),M,N,"눈물자국 아가강아지, 매우 순함",밀양시 동물보호센터,경상남도 밀양시 삼랑진읍 천태로 472 (삼랑진읍) ,070-4113-7288,보호중,새끼,dog,ESFJ
448536202600173,믹스견,2026(년생),F,N,낯설어하지만 순함,밀양시 동물보호센터,경상남도 밀양시 삼랑진읍 천태로 472 (삼랑진읍) ,070-4113-7288,보호중,새끼,dog,ISFP
448536202600172,믹스견,2025(년생),F,N,아직은 낯설어서 예민하나 금방 적응할 것 같음,밀양시 동물보호센터,경상남도 밀양시 삼랑진읍 천태로 472 (삼랑진읍) ,070-4113-7288,보호중,새끼,dog,ENFP
448531202600371,믹스견,2024(년생),F,N,순하고 겁많고 입질없음,진주시동물보호센터,"경상남도 진주시 집현면 신당길207번길 22 (집현면, 지역농업개발시설) ",055-749-6134,보호중,성체,dog,ISFJ
447519202600101,믹스견,2024(년생),F,U,“밥 잘 먹고 건강합니다.,청도군동물보호센터,경상북도 청도군 청도읍 중앙로 84-466  동물보호센터,054-371-9267,보호중,성체,dog,ISFJ
447519202600100,믹스견,2024(년생),F,U,“밥 잘 먹고 건강합니다.,청도군동물보호센터,경상북도 청도군 청도읍 중앙로 84-466  동물보호센터,054-371-9267,보호중,성체,dog,ISFJ
447519202600095,믹스견,2026(60일미만)(년생),M,U,귀여움,청도군동물보호센터,경상북도 청도군 청도읍 중앙로 84-466  동물보호센터,054-371-9267,보호중,새끼,dog,ENFP
447505202600235,믹스견,2023(년생),M,N,주인에게 반환 예정,경주동물사랑보호센터,경상북도 경주시 천북면 천북로 8-4  경주시 동물사랑보호센터,010-8889-2883,종료(반환),성체,dog,ESFJ
447505202600234,믹스견,2026(60일미만)(년생),F,N,삼남매중 가장 작은 강쥐 ! 아직 사람 손이 낯설지만 적응 하는 중이에요 ~,경주동물사랑보호센터,경상북도 경주시 천북면 천북로 8-4  경주시 동물사랑보호센터,010-8889-2883,보호중,새끼,dog,INFP
447505202600233,믹스견,2026(60일미만)(년생),M,N,하얀색 안경을 쓴 강쥐 ! 털 빠진거 아니고 눈 주변 털이 흰색이에요 !!,경주동물사랑보호센터,경상북도 경주시 천북면 천북로 8-4  경주시 동물사랑보호센터,010-8889-2883,보호중,새끼,dog,ENFP
447505202600232,믹스견,2026(60일미만)(년생),F,N,작은 얼굴에 특이한 무늬를 가진 예쁜 아기강아지 !,경주동물사랑보호센터,경상북도 경주시 천북면 천북로 8-4  경주시 동물사랑보호센터,010-8889-2883,보호중,새끼,dog,ENFP
447505202600231,믹스견,2024(년생),M,N,앙 다문 입의 앙증맞은 여우를 닮은 외모 훌륭 친구. 주의! 너~무 착함~!,경주동물사랑보호센터,경상북도 경주시 천북면 천북로 8-4  경주시 동물사랑보호센터,010-8889-2883,보호중,성체,dog,ESFJ
447505202600230,믹스견,2026(년생),M,N,원숭이 얼굴의 댕청미 넘치는 순둥순둥한 강아지.,경주동물사랑보호센터,경상북도 경주시 천북면 천북로 8-4  경주시 동물사랑보호센터,010-8889-2883,보호중,새끼,dog,ENFP
447505202600229,믹스견,2026(년생),M,N,다리가 짧아서 귀여움. 웰시코기 닮음.,경주동물사랑보호센터,경상북도 경주시 천북면 천북로 8-4  경주시 동물사랑보호센터,010-8889-2883,보호중,새끼,dog,ENFP
447505202600228,믹스견,2026(년생),M,N,주인에게반환예정,경주동물사랑보호센터,경상북도 경주시 천북면 천북로 8-4  경주시 동물사랑보호센터,010-8889-2883,종료(반환),새끼,dog,ENFP
447505202600227,믹스견,2023(년생),F,N,사납고 경계심 심함.,경주동물사랑보호센터,경상북도 경주시 천북면 천북로 8-4  경주시 동물사랑보호센터,010-8889-2883,보호중,성체,dog,ISTJ
446500202600114,믹스견,2025(년생),F,U,"파란색 목줄착용, 순하고 사람을 잘따름",진도군임시보호소,전라남도 진도군 진도읍 성죽골길 30  ,061-540-6326,보호중,새끼,dog,ESFJ
446496202600107,믹스견,2026(년생),M,U,경계심,학교임시동물보호센터,전라남도 함평군 학교면 송산길 84 (학교면) 월산리 806-1 ,010-5649-3435,보호중,새끼,dog,INFP
446496202600106,믹스견,2026(년생),F,U,경계심,학교임시동물보호센터,전라남도 함평군 학교면 송산길 84 (학교면) 월산리 806-1 ,010-5649-3435,보호중,새끼,dog,INFP
446496202600105,믹스견,2021(년생),F,U,경계심,학교임시동물보호센터,전라남도 함평군 학교면 송산길 84 (학교면) 월산리 806-1 ,010-5649-3435,보호중,성체,dog,ISTJ
446496202600104,믹스견,2024(년생),F,U,경계심,학교임시동물보호센터,전라남도 함평군 학교면 송산길 84 (학교면) 월산리 806-1 ,010-5649-3435,보호중,성체,dog,ISTJ
446481202600221,진도견,2024(년생),M,N,구조당시 진한녹색 목띠 착용상태 / 온순함,반려동물보호센터,전라남도 여수시 여수산단로 292-62 (평여동) 반려동물보호센터,061-659-2474,보호중,성체,dog,ISFJ
445479202600258,믹스견,2025(년생),F,N,새끼 강아지.,부안군 동물보호센터,전북특별자치도 부안군 주산면 주산로 369  부안군 동물보호센터,063-580-4445,보호중,새끼,dog,ENFP
445479202600257,믹스견,2025(년생),M,N,새끼 강아지.,부안군 동물보호센터,전북특별자치도 부안군 주산면 주산로 369  부안군 동물보호센터,063-580-4445,보호중,새끼,dog,ENFP
445479202600256,믹스견,2023(년생),M,N, 순해보임.,부안군 동물보호센터,전북특별자치도 부안군 주산면 주산로 369  부안군 동물보호센터,063-580-4445,보호중,성체,dog,ESFJ
445479202600254,믹스견,2025(년생),F,N, 목줄착용.,부안군 동물보호센터,전북특별자치도 부안군 주산면 주산로 369  부안군 동물보호센터,063-580-4445,보호중,새끼,dog,ENFP
445479202600253,믹스견,2022(년생),M,N,목줄착용. ,부안군 동물보호센터,전북특별자치도 부안군 주산면 주산로 369  부안군 동물보호센터,063-580-4445,보호중,성체,dog,ISTJ
445472202600189,믹스견,2026(년생),F,N,순함,완주군유기동물보호소,전북특별자치도 완주군 화산면 누하길 127  ,063-290-3248,보호중,새끼,dog,ESFJ
445469202600295,믹스견,2026(60일미만)(년생),M,N,약간의 경계심있음,정읍시 동물보호소,전북특별자치도 정읍시 2산단5길 37-1 (하북동) ,063-535-6295,보호중,새끼,dog,INFP
445469202600294,믹스견,2026(60일미만)(년생),M,N,경계심이 매우강함,정읍시 동물보호소,전북특별자치도 정읍시 2산단5길 37-1 (하북동) ,063-535-6295,보호중,새끼,dog,ISTJ
